Province,District,Division,Date,Houses Damaged,Affected,Deaths,Month,NE_Monsoon,Hist_Avg_Affected
Western,Gampaha,Wattala,2008-06-02,0,2100,0,6,0,2875.403314917127
Western,Gampaha,Wattala,2008-06-02,0,150,0,6,0,2875.403314917127
Northern,Jaffna,Island North(Kayts),2008-03-19,8,34,0,3,0,174.36666666666667
Northern,Jaffna,Island North(Kayts),2008-03-19,5,21,0,3,0,174.36666666666667
Northern,Jaffna,Island North(Kayts),2008-03-19,4,13,0,3,0,174.36666666666667
Northern,Jaffna,Island North(Kayts),2008-03-19,6,26,0,3,0,174.36666666666667
Northern,Jaffna,Island North(Kayts),2008-03-19,13,53,0,3,0,174.36666666666667
Northern,Jaffna,Island North(Kayts),2008-03-19,2,8,0,3,0,174.36666666666667
Western,Gampaha,Wattala,2008-06-02,0,340,0,6,0,2875.403314917127
Western,Colombo,Thimbirigasyaya,2007-05-03,0,0,1,5,0,3499.28125
Northern,Jaffna,Island North(Kayts),2008-03-19,5,21,0,3,0,174.36666666666667
Northern,Jaffna,Vadamaradchi South-west (Karav,2008-03-26,3,7,0,3,0,526.3103448275862
Northern,Kilinochchi,Karachchi,2008-03-10,4,319,0,3,0,1880.4
Western,Gampaha,Wattala,2008-06-02,0,516,0,6,0,2875.403314917127
Southern,Galle,Neluwa,2008-06-01,0,0,0,6,0,2447.3333333333335
Western,Gampaha,Wattala,2008-06-02,0,500,0,6,0,2875.403314917127
Southern,Galle,Nagoda,2008-06-01,0,14722,0,6,0,5971.941176470588
Western,Gampaha,Wattala,2008-06-02,0,4500,0,6,0,2875.403314917127
Eastern,Ampara,Lahugala,2000-01-01,0,7121,0,1,1,1863.25
Northern,Jaffna,Vadamaradchi South-west (Karav,2008-03-26,2,7,0,3,0,526.3103448275862
Northern,Jaffna,Vadamaradchi South-west (Karav,2008-03-26,0,8,0,3,0,526.3103448275862
Northern,Jaffna,Delft,2008-03-28,7,31,0,3,0,277.9130434782609
Northern,Jaffna,Delft,2008-03-28,3,14,0,3,0,277.9130434782609
Northern,Jaffna,Delft,2008-03-28,1,4,0,3,0,277.9130434782609
Northern,Jaffna,Delft,2008-03-28,1,5,0,3,0,277.9130434782609
Northern,Jaffna,Delft,2008-03-28,2,7,0,3,0,277.9130434782609
Western,Gampaha,Wattala,2008-06-02,0,2200,0,6,0,2875.403314917127
Southern,Galle,Thawalama,2008-06-01,0,0,0,6,0,3613.9411764705883
Western,Gampaha,Wattala,2008-06-02,0,1800,0,6,0,2875.403314917127
Western,Kalutara,Panadura,2004-09-25,0,2500,0,9,0,1939.439024390244
Western,Gampaha,Wattala,2008-06-02,0,1240,0,6,0,2875.403314917127
Southern,Galle,Niyagama,2008-06-02,0,5760,0,6,0,2108.214285714286
Western,Gampaha,Wattala,2008-06-02,0,360,0,6,0,2875.403314917127
Southern,Galle,Baddegama,2008-06-02,0,3083,0,6,0,1502.235294117647
Western,Gampaha,Wattala,2008-06-02,0,180,0,6,0,2875.403314917127
Southern,Galle,Welivitiya-Divithura,2008-06-02,3,11259,0,6,0,4057.4615384615386
Western,Gampaha,Wattala,2008-06-02,0,1800,0,6,0,2875.403314917127
Southern,Galle,Elpitiya,2008-06-03,0,0,0,6,0,548.52
Western,Gampaha,Wattala,2008-06-02,0,1756,0,6,0,2875.403314917127
Western,Gampaha,Wattala,2008-06-02,0,140,0,6,0,2875.403314917127
Western,Gampaha,Wattala,2008-06-02,0,60,0,6,0,2875.403314917127
Western,Gampaha,Wattala,2008-06-02,0,1000,0,6,0,2875.403314917127
Western,Gampaha,Wattala,2008-06-03,0,2400,0,6,0,2875.403314917127
Western,Gampaha,Wattala,2008-06-03,0,1110,0,6,0,2875.403314917127
Northern,Kilinochchi,Karachchi,2008-03-10,0,150,0,3,0,1880.4
Southern,Matara,Pitabeddara,2008-06-02,5,110,0,6,0,1417.3809523809523
Southern,Matara,Malimbada,2008-06-01,0,0,0,6,0,1108.5
Southern,Matara,Kamburupitiya,2008-06-01,0,0,0,6,0,1478.4736842105262
Central,Matale,Wilgamuwa,2006-12-19,10,42,0,12,1,201.0
Southern,Matara,Thihagoda,2008-06-04,0,510,0,6,0,1670.969696969697
Southern,Matara,Matara Four Gravets,2008-06-01,0,1095,0,6,0,3522.5
Western,Kalutara,Palindanuwara,2008-05-31,0,0,1,5,0,817.358024691358
Western,Kalutara,Palindanuwara,2008-05-31,40,3500,0,5,0,817.358024691358
Western,Kalutara,Palindanuwara,2008-05-31,0,0,0,5,0,817.358024691358
Western,Kalutara,Millaniya,2008-06-01,545,16247,3,6,0,3634.409090909091
Western,Kalutara,Walallavita,2008-06-01,28,8025,0,6,0,1675.56
Western,Kalutara,Bulathsinhala,2008-06-01,295,33993,5,6,0,2419.6133333333332
Uva,Moneragala,Sevanagala,2007-04-15,1,10,0,4,0,7.5
Northern,Kilinochchi,Karachchi,2008-03-10,0,175,0,3,0,1880.4
Northern,Kilinochchi,Karachchi,2008-03-10,20,1300,0,3,0,1880.4
Uva,Moneragala,Sevanagala,2008-03-12,1,5,0,3,0,7.5
Northern,Jaffna,Jaffna,2007-12-23,0,295,0,12,1,1042.6363636363637
Northern,Jaffna,Jaffna,2007-12-23,0,12,0,12,1,1042.6363636363637
North-Western,Puttalam,Vanathavilluwa,2007-12-25,12,115,0,12,1,555.1379310344828
Northern,Jaffna,Jaffna,2007-12-23,77,808,0,12,1,1042.6363636363637
Northern,Jaffna,Jaffna,2007-12-23,10,450,0,12,1,1042.6363636363637
Northern,Jaffna,Jaffna,2007-12-23,41,217,0,12,1,1042.6363636363637
Northern,Jaffna,Jaffna,2007-12-23,80,429,0,12,1,1042.6363636363637
Northern,Jaffna,Jaffna,2007-12-23,0,168,0,12,1,1042.6363636363637
Northern,Jaffna,Jaffna,2007-12-23,0,76,0,12,1,1042.6363636363637
Northern,Jaffna,Valikamam East (Kopay),2007-12-23,11,50,0,12,1,400.9811320754717
Northern,Jaffna,Valikamam East (Kopay),2007-12-23,10,111,0,12,1,400.9811320754717
